,Full Name,Rank,State,State_Name,Gender,Party,Term Date,Approve,Disapprove,No Opinion,ideology,rank_from_low,Link,Website,url_temp,url_temp_final
23,Cory Booker,junior,NJ,New Jersey,Male,Democrat,2015-01-06 to 2021-01-03,0.47,0.33,0.21,0.0745238537200178,5.0,https://www.govtrack.us/congress/members/cory_booker/412598,https://www.booker.senate.gov,"https://en.wikipedia.org/wiki/File:Cory_Booker,_official_portrait,_114th_Congress.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/482px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg
24,Dan Sullivan,junior,AK,Alaska,Male,Republican,2015-01-06 to 2021-01-03,0.4,0.33,0.27,0.7102803044283358,59.0,https://www.govtrack.us/congress/members/dan_sullivan/412665,https://www.sullivan.senate.gov,https://en.wikipedia.org/wiki/File:Senator_Dan_Sullivan_official_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Senator_Dan_Sullivan_official_%28cropped%29.jpg/553px-Senator_Dan_Sullivan_official_%28cropped%29.jpg
25,David Perdue,senior,GA,Georgia,Male,Republican,2015-01-06 to 2021-01-03,0.46,0.28,0.26,0.8679209368950046,87.0,https://www.govtrack.us/congress/members/david_perdue/412666,https://www.perdue.senate.gov,"https://en.wikipedia.org/wiki/File:David_Perdue,_Official_Portrait,_114th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg/548px-David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg
26,Joni Ernst,junior,IA,Iowa,Female,Republican,2015-01-06 to 2021-01-03,0.4,0.37,0.23,0.9621085394160072,99.0,https://www.govtrack.us/congress/members/joni_ernst/412667,https://www.ernst.senate.gov/public,"https://en.wikipedia.org/wiki/File:Joni_Ernst,_official_portrait,_116th_Congress_3.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/474px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg
27,Thom Tillis,junior,NC,North Carolina,Male,Republican,2015-01-06 to 2021-01-03,0.36,0.32,0.32,0.8645191690081264,86.0,https://www.govtrack.us/congress/members/thom_tillis/412668,https://www.tillis.senate.gov,https://en.wikipedia.org/wiki/File:Thom_Tillis_Official_Photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Thom_Tillis_Official_Photo_%28cropped%29.jpg/474px-Thom_Tillis_Official_Photo_%28cropped%29.jpg
28,Mike Rounds,junior,SD,South Dakota,Male,Republican,2015-01-06 to 2021-01-03,0.56,0.29,0.15,0.8809049568154679,90.0,https://www.govtrack.us/congress/members/mike_rounds/412669,https://www.rounds.senate.gov,https://en.wikipedia.org/wiki/File:Mike_Rounds_official_Senate_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg
29,Benjamin Sasse,junior,NE,Nebraska,Male,Republican,2015-01-06 to 2021-01-03,0.46,0.3,0.24,0.7400807063715135,65.0,https://www.govtrack.us/congress/members/benjamin_sasse/412671,https://www.sasse.senate.gov/public,https://en.wikipedia.org/wiki/File:Ben_Sasse_Official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Ben_Sasse_Official_photo_%28cropped%29.jpg/436px-Ben_Sasse_Official_photo_%28cropped%29.jpg
30,Michael Crapo,senior,ID,Idaho,Male,Republican,2017-01-03 to 2023-01-03,0.46,0.31,0.24,0.8380558675461371,80.0,https://www.govtrack.us/congress/members/michael_crapo/300030,https://www.crapo.senate.gov,https://en.wikipedia.org/wiki/File:Mike_Crapo_Official_Photo_110th_Congress_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg/561px-Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg
31,Charles Grassley,senior,IA,Iowa,Male,Republican,2017-01-03 to 2023-01-03,0.42,0.4,0.18,0.7061604648874235,58.0,https://www.govtrack.us/congress/members/charles_grassley/300048,https://www.grassley.senate.gov,https://en.wikipedia.org/wiki/File:Chuck_Grassley_official_photo_2017_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Chuck_Grassley_official_photo_2017_%28cropped%29.jpg/480px-Chuck_Grassley_official_photo_2017_%28cropped%29.jpg
32,Patrick Leahy,senior,VT,Vermont,Male,Democrat,2017-01-03 to 2023-01-03,0.62,0.23,0.15,0.20566718883500096,18.0,https://www.govtrack.us/congress/members/patrick_leahy/300065,https://www.leahy.senate.gov,https://en.wikipedia.org/wiki/File:Patrick_Leahy_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Patrick_Leahy_official_photo_%28cropped%29.jpg
33,Lisa Murkowski,senior,AK,Alaska,Female,Republican,2017-01-03 to 2023-01-03,0.39,0.42,0.19,0.5007810432250042,45.0,https://www.govtrack.us/congress/members/lisa_murkowski/300075,https://www.murkowski.senate.gov,https://en.wikipedia.org/wiki/File:Lisa_Murkowski_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/444px-Lisa_Murkowski_official_photo_%28cropped%29.jpg
34,Patty Murray,senior,WA,Washington,Female,Democrat,2017-01-03 to 2023-01-03,0.45,0.31,0.24,0.21410009157634585,20.0,https://www.govtrack.us/congress/members/patty_murray/300076,https://www.murray.senate.gov/public,"https://en.wikipedia.org/wiki/File:Patty_Murray,_official_portrait,_113th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/455px-Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
35,Charles Schumer,senior,NY,New York,Male,Democrat,2017-01-03 to 2023-01-03,0.47,0.34,0.19,0.2848180911350111,32.0,https://www.govtrack.us/congress/members/charles_schumer/300087,https://www.schumer.senate.gov,https://en.wikipedia.org/wiki/File:Chuck_Schumer_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Chuck_Schumer_official_photo_%28cropped%29.jpg/409px-Chuck_Schumer_official_photo_%28cropped%29.jpg
