Candidate,Gender,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Rita Ramirez,Female,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,27.67,,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Ronald O'Donnell,Male,CA,U.S. House California District 8,Representative,Regular,6/5/18,Lost,None,,-17.33,12.71,,White,No,No,No,No,No,No,,,,,,,,,,,,,
Cary Kennedy,Female,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,24.719999,No,White,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,
Donna Lynne,Female,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,7.2800002,No,White,No,No,Yes,No,No,No,,No,No,,,,,,,,,,
Jared Polis,Male,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,2.49,44.43,Yes,White,No,Yes,Yes,Yes,No,No,,No,No,,,,,,,,,,
Michael Johnston,Male,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,2.49,23.57,No,White,No,No,Yes,No,No,Yes,,No,No,,,,,,,,,,
Joe Neguse,Male,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,18.040001,65.82,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Mark Williams,Male,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,None,18.040001,34.18,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Arn Menconi,Male,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,-13.03,8.2200003,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,
Diane Mitsch Bush,Female,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-13.03,64.099998,Yes,White,No,No,Yes,No,No,No,,Yes,,,,,,,,,,,
Karl Hanlon,Male,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,None,-13.03,27.68,No,White,No,No,No,No,No,No,,No,,,,,,,,,,,
Chase Kohne,Male,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Lost,None,None,-24.68,35.32,No,White,Yes,No,No,No,Yes,No,,,,,,,,,,,,,
Karen McCormick,Female,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-24.68,64.629997,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
Stephany Rose Spaulding,Female,CO,U.S. House Colorado District 5,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-25.73,100,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,Yes,,,,,
Jason Crow,Male,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,On the Ballot,5.4200001,65.940002,Yes,White,Yes,No,No,No,No,No,Yes,,,,,,No,,,,,Yes,
Levi Tillemann,Male,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,None,None,5.4200001,34.060001,No,White,No,No,No,No,Yes,Yes,No,,,,,,Yes,,,,,No,
Stacey Abrams,Female,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-8.3400002,76.440002,Yes,Nonwhite,No,No,Yes,No,No,No,,Yes,,,,Yes,Yes,,Yes,,Yes,,
Stacey Evans,Female,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,None,-8.3400002,23.559999,No,White,No,No,No,Yes,No,No,,No,,,,No,No,,No,,No,,
Barbara Seidman,Female,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,None,None,-17.379999,32.459999,No,Nonwhite,No,No,No,No,No,No,,,,,,,,No,No,No,,,
Lisa Ring,Female,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-17.379999,67.540001,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,No,Yes,,,
