Candidate,Gender,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Chris Giunchigliani,Female,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,38.860001,No,,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,Yes,,
David Jones,Male,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.73,No,,No,No,No,No,No,No,,No,No,,,,,,,,No,,
Henry Thorns,Male,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,1.9,No,Nonwhite,No,No,No,No,Yes,No,,No,No,,,,,,,,No,,
John Bonaventura,Male,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,None,0.94999999,2.99,No,,No,No,Yes,No,No,No,,No,No,,,,,,,,No,,
Steve Sisolak,Male,NV,Governor of Nevada,Governor,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,50.029999,Yes,,No,No,Yes,No,No,No,,No,Yes,,,,,,,,No,,
Clint Koble,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-13.78,26.129999,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,
Jack Schofield Jr.,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,7.5,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,
Jesse Hurley,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,8.04,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,
Patrick Fogarty,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,23.83,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,
Rick Shepherd,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,21.280001,No,,No,No,No,No,Yes,No,,,Yes,,,,No,,,,,,
Vance Alm,Male,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,-13.78,13.22,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,
Eric Stoltz,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,7.2399998,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Guy Pinjuv,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,3.5,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,
Jack Love,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,5.8000002,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Michael Weiss,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,8.1800003,No,,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,
Richard Hart,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,4.8499999,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Steve Schiffman,Male,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,-3.0799999,3.51,No,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,
Susie Lee,Female,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,-3.0799999,66.910004,Yes,,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,
Allison Stephens,Female,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199999,6.02,No,Nonwhite,No,No,Yes,No,No,No,No,,No,No,,,No,No,,No,,No,
Amy Vilela,Female,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199999,9.1999998,No,,No,No,No,No,No,No,No,,Yes,No,,,Yes,Yes,,Yes,,No,
John Anzalone,Male,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199999,5.8000002,No,,No,No,No,No,No,No,No,,Yes,No,,,No,No,,,,,
Patricia Spearman,Female,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199999,15.24,No,Nonwhite,Yes,Yes,Yes,No,No,No,No,,Yes,No,,,No,No,,No,,Yes,
Sid Zeller,Male,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,3.8199999,2,No,,Yes,No,No,No,No,No,No,,No,No,,,No,No,,No,,No,
Steven Horsford,Male,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,3.8199999,61.740002,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,Yes,Yes,,,No,No,,,,,
Allen Rheinhart,Male,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.3299999,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,
Bobby Mahendra,Male,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.6700001,No,Nonwhite,No,No,No,No,No,No,No,No,,No,,,No,,,,,,
Daniel Burleigh,Male,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,2.26,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,
David Drew Knight,Male,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,4.4299998,No,,No,No,No,No,No,No,No,No,,No,,,No,,,,,,
Jacky Rosen,Female,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,On the Ballot,0.94999999,77.110001,Yes,,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,,,No,,,,,,
Jesse Sbaih,Male,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,0.94999999,3.1700001,No,Nonwhite,No,No,No,Yes,No,No,No,No,,No,,,Yes,,,,,,
David Pechefsky,Male,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,11.9,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Elaine DiMasi,Female,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,5.9200001,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Kate Browning,Female,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,30.32,No,White,No,No,Yes,No,No,No,,,,,,,,,,,,,
Perry Gershon,Male,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.63,35.450001,Yes,,No,No,No,Yes,Yes,No,,,,,,,,,,,,,
Vivian Viloria-Fisher,Female,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,-11.63,16.26,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,,,,,,,
Max Rose,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.8100004,62.650002,Yes,,Yes,No,No,No,No,No,Yes,,,,,,,,,,Yes,Yes,
Michael DeVito Jr.,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,18.42,No,Nonwhite,Yes,No,No,No,No,No,No,,,,,,,,,,No,No,
Omar Vaid,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,8.4300003,No,Nonwhite,No,No,No,No,No,No,No,,,,,,,,,,No,No,
Paul Sperling,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,2.29,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,
Radhakrishna Mohan,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,3.78,No,Nonwhite,No,No,No,No,Yes,No,No,,,,,,,,,,No,No,
Zach Emig,Male,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,-8.8100004,1.26,No,,No,No,No,No,No,No,No,,,,,,,,,,No,No,
Antonio Delgado,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-6.0799999,21.99,Yes,Nonwhite,No,No,No,No,No,No,,No,Yes,,,,,No,,No,,No,
Brian Flynn,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,13.18,No,White,No,No,No,Yes,No,No,,No,No,,,,,No,,No,,No,
David Clegg,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,11.08,No,,No,No,No,Yes,No,No,,No,No,,,,,No,,Yes,,No,
Erin Collier,Female,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,4.8600001,No,,No,No,No,No,No,No,,Yes,Yes,,,,,No,,No,,No,
Gareth Rhodes,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,17.85,No,,No,No,No,No,No,No,,No,No,,,,,No,,Yes,,No,
Jeff Beals,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,13.18,No,,No,No,No,No,No,No,,No,No,,,,,Yes,,No,,No,
Pat Ryan,Male,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,-6.0799999,17.719999,No,,Yes,No,No,No,No,No,,No,No,,,,,No,,Yes,,Yes,
DuWayne Gregory,Male,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,None,-8.2600002,41.639999,No,Nonwhite,Yes,No,Yes,No,No,No,,No,Yes,,,,No,,,No,Yes,Yes,
Liuba Grechen Shirley,Female,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-8.2600002,57.98,Yes,,No,No,No,No,No,No,,Yes,Yes,,,,Yes,,,Yes,No,No,
Dylan Ratigan,Male,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.91,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,
Emily Martz,Female,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,10.37,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,No,,
Katie Wilson,Female,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,11.68,No,,No,No,No,No,No,No,,,No,,,,No,No,,No,Yes,,
Patrick Nelson,Male,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,-11.43,9.1199999,No,White,No,No,No,No,Yes,No,,,Yes,,,,Yes,Yes,,No,No,,
Tedra Cobb,Female,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-11.43,56.009998,Yes,,No,No,Yes,No,No,No,,,Yes,,,,Yes,No,,Yes,No,,
Anthony Brindisi,Male,NY,U.S. House New York District 22,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-14.26,100,Yes,,No,No,Yes,No,No,No,Yes,,No,,,,,,,,Yes,,
Eddie Sundquist,Male,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,6.4200001,No,,No,Yes,No,No,Yes,No,,,No,,,,No,No,,,No,,
Ian Golden,Male,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,13.44,No,,No,No,No,No,No,No,,,No,,,,Yes,Yes,,,No,,
Linda Andrei,Female,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,15.33,No,,No,No,No,No,Yes,No,,,No,,,,No,No,,,No,,
Max Della Pia,Male,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Lost,None,None,-13.93,32.400002,No,,Yes,No,No,No,No,No,,,No,,,,No,No,,,No,,
Tracy Mitrano,Female,NY,U.S. House New York District 23,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-13.93,32.299999,Yes,,No,No,No,No,No,No,,,Yes,,,,No,No,,,Yes,,
Dana Balter,Female,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Advanced,None,On the Ballot,4.1399999,62.380001,Yes,,No,No,No,No,No,No,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,No,
Juanita Perez Williams,Female,NY,U.S. House New York District 24,Representative,Regular,6/26/18,Lost,None,None,4.1399999,37.23,No,Nonwhite,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,No,No,No,No,No,Yes,
Adam McFadden,Male,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.450001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,No,,
Joseph Morelle,Male,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Advanced,None,On the Ballot,14.62,45.290001,Yes,,No,No,Yes,No,No,No,,,Yes,,,,No,,,,Yes,,
Rachel Barnhart,Female,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,19.77,No,,No,No,No,No,No,No,,,Yes,,,,No,,,,No,,
Robin Wilt,Female,NY,U.S. House New York District 25,Representative,Regular,6/26/18,Lost,None,None,14.62,17.35,No,Nonwhite,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,No,,
Nate McMurray,Male,NY,U.S. House New York District 27,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-24.01,100,Yes,White,No,No,Yes,No,No,No,,,,,,,,,,,Yes,,
Dennis J. Kucinich,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.8899999,22.98,No,White,No,No,Yes,No,No,No,,,No,,No,,Yes,,,,,,
Joseph Schiavoni,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.8899999,9.1700001,No,,No,No,Yes,No,No,No,,,Yes,,No,,No,,,,,,
Larry Ealy,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.8899999,1.02,No,Nonwhite,No,No,No,No,No,No,,,No,,No,,No,,,,,,
Paul Ray,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.8899999,1.38,No,,No,No,No,No,No,No,,,No,,No,,No,,,,,,
Richard Cordray,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Advanced,None,On the Ballot,-7.8899999,62.16,Yes,White,No,No,Yes,No,No,Yes,,,Yes,,Yes,,No,,,,,,
William O'Neill,Male,OH,Governor of Ohio,Governor,Regular,5/8/18,Lost,None,None,-7.8899999,3.29,No,White,Yes,No,Yes,No,No,No,,,No,,No,,No,,,,,,
Aftab Pureval,Male,OH,U.S. House Ohio District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-9.0100002,100,Yes,Nonwhite,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,
Michael Milisits,Male,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,-8.4799995,7.4000001,No,,No,No,No,No,No,No,,,,,,,,,,,,,
Robert Klepinger,Male,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Lost,None,None,-8.4799995,25.6,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Theresa Gasper,Female,OH,U.S. House Ohio District 10,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-8.4799995,67.019997,Yes,,No,No,No,No,No,No,,,,,,,,,,,,,
Danny O'Connor,Male,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Advanced,None,On the Ballot,-13.63,40.939999,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,
Danny O'Connor,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-13.63,40.52,Yes,,No,No,Yes,No,No,No,,,Yes,,,,,No,,Yes,,,
Doug Wilson,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,3.74,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,
Doug Wilson,Male,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,3.9400001,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,
Ed Albertson,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,7.8600001,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,
Ed Albertson,Male,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,8.0799999,No,,Yes,No,No,No,No,No,,,No,,,,,No,,No,,,
Jackie Patton,Female,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,14.02,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,
Jackie Patton,Female,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,13.58,No,,No,No,No,No,No,No,,,Yes,,,,,No,,No,,,
John Peters,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,1.49,No,,No,No,No,No,No,No,,,No,,,,,No,,No,,,
John Russell,Male,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,16.700001,No,,No,No,No,No,No,No,,,Yes,,,,,Yes,,No,,,
John Russell,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,16.27,No,,No,No,No,No,No,No,,,Yes,,,,,Yes,,No,,,
Zach Scott,Male,OH,U.S. House Ohio District 12,Representative,Regular,5/8/18,Lost,None,None,-13.63,16.1,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,
Zach Scott,Male,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,-13.63,16.76,No,,No,No,Yes,No,No,No,,,No,,,,,No,,No,,,
Betsy Rader,Female,OH,U.S. House Ohio District 14,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-11.98,100,Yes,,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,
Rick Neal,Male,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-15.48,63.540001,Yes,,No,Yes,No,No,No,No,,,Yes,,,,,,,,,,
Rob Jarvis,Male,OH,U.S. House Ohio District 15,Representative,Regular,5/8/18,Lost,None,None,-15.48,36.459999,No,,No,No,No,No,No,No,,,No,,,,,,,,,,
Aaron Godfrey,Male,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001,7.9099998,No,,No,No,No,No,Yes,No,,,Yes,,,,Yes,,,,,,
Grant Goodrich,Male,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001,28.059999,No,,Yes,No,No,No,No,No,,,Yes,,,,No,,,,,,
John Wilson,Male,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001,4.48,No,,No,No,No,No,No,No,,,No,,,,No,,,,,,
Mark Dent,Male,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001,9.3800001,No,,Yes,No,No,No,No,No,,,No,,,,No,,,,,,
Susan Moran Palmer,Female,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-17.030001,34.630001,Yes,,No,No,No,No,No,No,,,Yes,,,,No,,,,,,
TJ Mulloy,Male,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,-17.030001,15.54,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,
Janet Everhard,Female,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,-17.360001,34.400002,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Jill Schiller,Female,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-17.360001,54.200001,Yes,,No,No,No,No,No,Yes,,,Yes,,,,,,,,,,
William Smith,Male,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,-17.360001,11.4,No,,No,No,No,No,No,No,,,No,,,,,,,,,,
Cody James Slatzer-Rose,Male,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Lost,None,None,-31.23,16.15,No,,No,No,No,No,Yes,No,,,No,,,,,,,,,,
Janet Garrett,Female,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-31.23,83.849998,Yes,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
James Neu Jr.,Male,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Lost,None,None,-23.809999,26.700001,No,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
John Michael Galbraith,Male,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-23.809999,73.199997,Yes,,No,No,No,No,No,No,,,No,,,,,,,,,,
Shawna Roberts,Female,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-37.610001,74.5,Yes,,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Werner Lange,Male,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Lost,None,None,-37.610001,25.5,No,,No,No,No,No,No,No,,,,,,,,,,No,,,
Ken Harbaugh,Male,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-27.18,80.199997,Yes,,Yes,No,No,No,No,No,Yes,,No,,,,,,,,,Yes,
Patrick Pikus,Male,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Lost,None,None,-27.18,19.799999,No,,No,No,No,No,No,No,No,,No,,,,,,,,,No,
Bill Ebben,Male,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,12.18,No,,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Matthew Guyette,Male,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,13.63,No,,No,Yes,No,No,No,No,,,No,,,,,,,,,,
Ted Jones,Male,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,-34.779999,16.280001,No,,No,No,No,No,No,No,,,No,,,,,,,,,,
Vanessa Enoch,Female,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,-34.779999,57.91,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Constance Johnson,Female,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,-38.209999,38.619999,No,Nonwhite,No,No,Yes,No,No,No,,,,,,,Yes,,,,,,
Drew Edmondson,Male,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,None,On the Ballot,-38.209999,61.380001,Yes,White,Yes,No,Yes,No,No,No,,,,,,,No,,,,,,
Amanda Douglas,Female,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,,-31.959999,32.41,,,No,No,No,No,No,No,,,Yes,,,,,,,,,,
David Matthew Hullum,Male,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,5.02,,,No,No,No,No,No,No,,,No,,,,,,,,,,
Gwendolyn Fields,Female,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,19.620001,,,No,No,No,No,No,No,,,No,,,,,,,,,,
Mark Keeter,Male,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,,-31.959999,8.46,,,No,No,No,No,No,No,,,No,,,,,,,,,,
Tim Gilpin,Male,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,,-31.959999,34.48,,,No,No,No,No,No,No,,,No,,,,,,,,,,
Clay Padgett,Male,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,,-49.009998,24.23,,,Yes,No,No,No,No,No,,,,,,,,,,,,,
Elijah McIntosh,Male,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,,-49.009998,19.02,,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Jason Nichols,Male,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,,-49.009998,37.880001,,Nonwhite,No,No,Yes,No,Yes,No,,,,,,,,,,,,,
Virginia Jenner,Female,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,,-49.009998,18.860001,,,No,No,No,No,No,No,,,,,,,,,,,,,
Frankie Robbins,Male,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,-54.009998,64.839996,Yes,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Murray Thibodeaux,Male,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Lost,None,None,-54.009998,35.16,No,,No,No,No,No,Yes,No,,,,,,,,,,,,,
Fred Gipson,Male,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,,-39.130001,30.360001,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,
Mallory Varner,Male,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,,-39.130001,18.610001,,,No,No,No,No,No,No,,,,,,,,,,,,,
Mary Brannon,Female,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,,-39.130001,34.360001,,,No,No,No,No,No,No,,,,,,,,,,,,,
Roxann Klutts,Female,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,,-39.130001,16.67,,,No,No,No,No,No,No,,,,,,,,,,,,,
Eddie Porter,Male,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,10.63,,,No,No,No,No,No,No,,,,,,,,,,,,,
Elysabeth Britt,Female,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,13.51,,,Yes,Yes,No,No,No,No,,,,,,,,,,,,,
Kendra Horn,Female,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,,-17.18,43.84,,,No,No,No,No,No,No,,,,,,,,,,,,,
Leona Kelley-Leonard,Female,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,8.4200001,,,No,No,No,No,No,No,,,,,,,,,,,,,
Tom Guild,Male,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,,-17.18,17.91,,,No,No,No,No,No,No,,,,,,,,,,,,,
Tyson Todd Meade,Male,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,,-17.18,5.6900001,,,No,Yes,No,No,No,No,,,,,,,,,,,,,
Eric Burnette,Male,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,-21.68,4.6199999,No,,No,No,No,No,No,No,,,,,,,Yes,,,,Yes,,
Jamie McLeod-Skinner,Female,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,-21.68,42.82,Yes,White,No,Yes,Yes,No,Yes,No,,,,,,,,,,Yes,,,
Jennifer Neahring,Female,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,-21.68,23.68,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Jim Crary,Male,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,-21.68,11.44,No,,Yes,No,No,No,No,No,,,,,,,,,,,,,
Michael Byrne,Male,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,-21.68,4.3000002,No,,No,No,No,No,No,No,,,,,,,,,,,,,
